comment_id,body,source,bias,score,date,video_title,author
UgynI4r9cQyMrH1SHkV4AaABAg,"I would say ""Let's see the media try to spin this"" but they're already showing a conveniently muted version of the footage",FOX 9 Minneapolis-St. Paul,LOCAL,1447,2026-01-10,New video shows POV of ICE agent who fatally shot Renee Good,@G1antPurpleHipp0
UgyzmnRSdkTYVrqXWSh4AaABAg,Bodycams are the best thing ever for law enforcement.,FOX 9 Minneapolis-St. Paul,LOCAL,2431,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@SuwinTzi
Ugzd2qjDbnwt6teY4U54AaABAg,ready for the 1k+ bot comments before 5k views again lol,FOX 9 Minneapolis-St. Paul,LOCAL,1030,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@d3c0mpr3ss
UgyrJL1lcagr7vGeTPp4AaABAg,"Notice how he moved his iphone to his left hand when she said ""big boy"" getting his gun out in response before the car even moved. Disgusting. Just wanted an excuse to legally kill",FOX 9 Minneapolis-St. Paul,LOCAL,9,2026-01-31,New video shows POV of ICE agent who fatally shot Renee Good,@swiftsorceror
Ugz4VWWBFg19Ql8UYEp4AaABAg,"""If you choose to watch."" Oh brother! This must be killing the media right now!",FOX 9 Minneapolis-St. Paul,LOCAL,260,2026-01-10,New video shows POV of ICE agent who fatally shot Renee Good,@NanyaB683
UgzqAm1SGY96TQEAvIR4AaABAg,Bodycams crush the narrative,FOX 9 Minneapolis-St. Paul,LOCAL,303,2026-01-10,New video shows POV of ICE agent who fatally shot Renee Good,@HyperCraxy
Ugz5eb1ODVRJtU7tCYh4AaABAg,Thumbnail text is a peak learing moment,FOX 9 Minneapolis-St. Paul,LOCAL,328,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@Warrior_Pilgrim
UgxAhgqwOHV8wdIUmX14AaABAg,Interesting t rex in the background 1:10,FOX 9 Minneapolis-St. Paul,LOCAL,20,2026-01-16,New video shows POV of ICE agent who fatally shot Renee Good,@alexmcwilliams1321
UgzT8W50xF6ybG19i7p4AaABAg,Thankyou whoever released the body cam,FOX 9 Minneapolis-St. Paul,LOCAL,857,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@smac1684
UgwhwJ2bV5gn6rcjrUt4AaABAg,"Drive Baby, Drive??? Oh man that was bad advice",FOX 9 Minneapolis-St. Paul,LOCAL,500,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@goodoleme747
UgztZT7SL2tZPQkbECd4AaABAg,I do love the news woman putting on that concerned and sensitive sounding voice.,FOX 9 Minneapolis-St. Paul,LOCAL,157,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@twonine3
Ugz_lG4bl2N3j300R-x4AaABAg,To anyone saying she was going toward him - look at what she does the steering wheel.,FOX 9 Minneapolis-St. Paul,LOCAL,27,2026-01-25,New video shows POV of ICE agent who fatally shot Renee Good,@Subrosathefirst
UgwoJkuyQKrvE-sZrZ94AaABAg,"Just remember, this isn't a bug, it's a feature. All of this is intentional.",FOX 9 Minneapolis-St. Paul,LOCAL,297,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@dawnnightinger3025
Ugz62nQzTjKC5giy0zR4AaABAg,"As someone who is not American, I am struck by how watching the same video can elicit such vastly different reactions based solely on ideological differences between the left and right.",FOX 9 Minneapolis-St. Paul,LOCAL,23,2026-01-10,New video shows POV of ICE agent who fatally shot Renee Good,@usisan6529
UgzgXJhaTXjsDnei-9N4AaABAg,I hope the dog was OK,FOX 9 Minneapolis-St. Paul,LOCAL,390,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@smokingman51
UgxQ5lzVmc9aGayBU1Z4AaABAg,This is the video that kinda puts it to rest,FOX 9 Minneapolis-St. Paul,LOCAL,553,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@seanm4082
UgzGkM0Qy8Z2OFreo9h4AaABAg,I can't believe Dustborn accurately portrayed the left,FOX 9 Minneapolis-St. Paul,LOCAL,55,2026-01-12,New video shows POV of ICE agent who fatally shot Renee Good,@PixelShroom2024
UgxZiZVBdUVDFmwItth4AaABAg,"The Typo in the thumbnail, how professional. Look folks, it ain't hard to proof read before hitting enter. Just goes to show the quality of employees today.",FOX 9 Minneapolis-St. Paul,LOCAL,38,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@sharthun2009
UgyT3_7VYj0WXbzocOt4AaABAg,Whats with the dinossaur in the background? 😂,FOX 9 Minneapolis-St. Paul,LOCAL,3,2026-01-12,New video shows POV of ICE agent who fatally shot Renee Good,@breeviewAWAKENING
Ugx9In0ElhRhsktoH254AaABAg,"It’s really insane how many bots or overseas accounts pretending to be maga or democrat trying to spread hate amongst each other, left or right, this is our country, not our politicians.",FOX 9 Minneapolis-St. Paul,LOCAL,345,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@MR1985MR
UgxQlSm7qRBqrupXycp4AaABAg,"The wildest part is seeing the man-bun come together right at the end of the video. The confidence that guy displayed when he put his camera down on top of the parking barrier all nonchalant, right through to his grappling of that meta-mane and securing it with a dexterously produced hair band... Stunning. Oh, AND brave. Yeah. Brave.",FOX 9 Minneapolis-St. Paul,LOCAL,13,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@MiloDebuque
UgzptcD-hTHUr1_oraV4AaABAg,The fact that the ACTUAL LAW had to be read by an activist and not reported by the media is insane.,FOX 9 Minneapolis-St. Paul,LOCAL,19,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@s.m.4198
UgzcfoD-D9R2ccCtXQx4AaABAg,These people are so stupid they literally think nothings gonna happen to them as long as they hold up their magical phones! They think a cell phone is some kinda force field and as long as they have it they can do whatever they want without any repercussions.,FOX 9 Minneapolis-St. Paul,LOCAL,8,2026-01-13,New video shows POV of ICE agent who fatally shot Renee Good,@jstsumguy29
UgzTQ0-BEnoWjWrel9F4AaABAg,""" The party told you to reject the evidence of your eyes and ears. It was their final, most essential command.""  Please allow yourselves' to be bamboozled with narratives presented by these ""news"" channels  and forget what you saw and be distracted by coming onslaught of rehearsed narratives.",FOX 9 Minneapolis-St. Paul,LOCAL,356,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@MrNufzed
Ugxbsy0H7f8qZ2yFshd4AaABAg,Where is the horizontal video?,FOX 9 Minneapolis-St. Paul,LOCAL,5,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@MtnXfreeride
UgwDo8l9HLh99GiHNCd4AaABAg,It's even more clear now,FOX 9 Minneapolis-St. Paul,LOCAL,34,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@kirk.w.mclaren
Ugz1VzZECdC1wYOkM5B4AaABAg,Is her name Georgina?,FOX 9 Minneapolis-St. Paul,LOCAL,2,2026-01-13,New video shows POV of ICE agent who fatally shot Renee Good,@skallittor5478
Ugx_oQQ7WFz9bYsZBJ94AaABAg,"00:34 When ""that car comes by him""? Good grief.",FOX 9 Minneapolis-St. Paul,LOCAL,150,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@carrie618
UgwOstQe-kl8Jlcrbih4AaABAg,lol so the argument is he recorded on his phone not body cam so it’s not real! Lmaooooo,FOX 9 Minneapolis-St. Paul,LOCAL,10,2026-01-14,New video shows POV of ICE agent who fatally shot Renee Good,@untaughtknowledge
UgzFODUzF7GlHoV85Ml4AaABAg,"Urban policing 101 - you never stand in front of a vehicle when it is being operated. Period. And it is for exactly this reason - so that you don't shoot the driver and put pedestrians in danger. For whatever reason, this guy doesn't mention any of that.",FOX 9 Minneapolis-St. Paul,LOCAL,21,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@glenngould8663
UgwlecQ4szMq2edZ7jZ4AaABAg,Acctually it does not show shots being fired but other footages does,FOX 9 Minneapolis-St. Paul,LOCAL,0,2026-01-12,New video shows POV of ICE agent who fatally shot Renee Good,@RichardSturesson
Ugz78tyUn8gI7u9D0xV4AaABAg,A true spouse would have protected her spouse! Not put her on harms way!,FOX 9 Minneapolis-St. Paul,LOCAL,29,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@carlzobel513
UgwekNLn1qHfvBmLzqJ4AaABAg,What are AGENET'S?  Check your thumbnail.,FOX 9 Minneapolis-St. Paul,LOCAL,10,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@MerchantOfClicks
UgyHsnfXKY0OFoCJhFB4AaABAg,She’s trying to hard isn’t she “not sure where that video came from”? The agent holding the camera genius,FOX 9 Minneapolis-St. Paul,LOCAL,2,2026-01-13,New video shows POV of ICE agent who fatally shot Renee Good,@hunterjams541
UgwWawJcmQHqg7acAy94AaABAg,"Yeah thats murder, she turned her wheel AWAY from him, he jumped to her so to kill",FOX 9 Minneapolis-St. Paul,LOCAL,12,2026-01-25,New video shows POV of ICE agent who fatally shot Renee Good,@danielhooper502
Ugy-2446fZqWtjq2MSx4AaABAg,"It doesnt matter if the wheels were turned. If she is told by law enforcement to get out of the vehicle but drives a 1000 pound vehicle in the direction of a person. That person isn't going to take they're time to look at tge wheels. As far as they know, the hulking mass of steel is going to illegally hit them or someone else so the person has tge right to attempt to slow tge vehicle down at all costs",FOX 9 Minneapolis-St. Paul,LOCAL,12,2026-01-14,New video shows POV of ICE agent who fatally shot Renee Good,@InaudibleHippo
Ugyw0A3EfeoCw26AC9d4AaABAg,Remember they taught us the Boston massacre. British troops attacked and fired back . Though the story told created momentum for a rebellion.At the trial the British soldiers were found innocent.,FOX 9 Minneapolis-St. Paul,LOCAL,2,2026-01-10,New video shows POV of ICE agent who fatally shot Renee Good,@JohnSmith-kr6ek
UgzNrnkQiOvtxpM_art4AaABAg,Why didn't we hear gunfire or see the gun he used to shoot her?,FOX 9 Minneapolis-St. Paul,LOCAL,16,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@ruthbzrb
UgyRPJT_mkdkcoxMwfF4AaABAg,Is the dog🐶 okay?????😢 The poor thing must be traumatised.,FOX 9 Minneapolis-St. Paul,LOCAL,6,2026-01-10,New video shows POV of ICE agent who fatally shot Renee Good,@ArsaDerinoglu
Ugw6Ilo4xwzzoMot6td4AaABAg,Look what happens when cops let people drive away: https://youtu.be/oPGqUOVQJR8?si=WCC_pFUnLaElX5mT,FOX 9 Minneapolis-St. Paul,LOCAL,0,2026-02-01,New video shows POV of ICE agent who fatally shot Renee Good,@MicahRdr
UgxbnB1s-h2aEvn1Jp14AaABAg,Yeah I didn't hear three shots. Have they cut some of the video?,FOX 9 Minneapolis-St. Paul,LOCAL,15,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@unclebadger597
UgyXI0lynYXQa1cs9x54AaABAg,Obviously this news reporter is framing her words against the federal officer before the clip is shown.  We’ve had enough of lying mainstream media!,FOX 9 Minneapolis-St. Paul,LOCAL,6,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@LindaCarter-i8t
UgycPX-bgO6sJN5ozMB4AaABAg,"He yells, the car thumps him then a shot is fired.",FOX 9 Minneapolis-St. Paul,LOCAL,6,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@kristahutchinson907
UgzjYfgqQRfDmigxiZV4AaABAg,The wife told her to drive? lol,FOX 9 Minneapolis-St. Paul,LOCAL,11,2026-01-09,New video shows POV of ICE agent who fatally shot Renee Good,@happyscrub
Ugwgf3uM6UiTmGPF6t94AaABAg,No need to shoot. Seems like she was trying to get away more than hurt the officer.,FOX 9 Minneapolis-St. Paul,LOCAL,10,2026-01-18,New video shows POV of ICE agent who fatally shot Renee Good,@smashschool6747
UgzPetQ1wVzm-UAXUg54AaABAg,Did the dog survive?,FOX 9 Minneapolis-St. Paul,LOCAL,7,2026-01-10,New video shows POV of ICE agent who fatally shot Renee Good,@Deborah-m9p3d
Ugx3SlKPLN3XikZmFON4AaABAg,Springsteen denounces ICE and Trump's Gestapo tactics: https://youtu.be/5YI7M8Xc23A?si=4DU8Y5tsmHM_IdwU,FOX 9 Minneapolis-St. Paul,LOCAL,0,2026-01-19,New video shows POV of ICE agent who fatally shot Renee Good,@kevinparcell8537
